node,name,date,species,order,family,genus,rank,lon,lat
Clusiaceae,Clusiaceae,89.8,Clusiaceae,Malpighiales,Clusiaceae,,FAMILY,-5.034181,50.517202
Clusiaceae,Clusiaceae,89.8,Clusiaceae,Malpighiales,Clusiaceae,,FAMILY,-52.68,4.03
Clusiaceae,Clusiaceae,89.8,Symphonia globulifera L.fil.,Malpighiales,Clusiaceae,Symphonia,SPECIES,6.298429,5.029864
Clusiaceae,Clusiaceae,89.8,Symphonia globulifera L.fil.,Malpighiales,Clusiaceae,Symphonia,SPECIES,6.297911,5.028571
Clusiaceae,Clusiaceae,89.8,Clusiaceae,Malpighiales,Clusiaceae,,FAMILY,-3.804204,51.550002
Clusiaceae,Clusiaceae,89.8,Clusiaceae,Malpighiales,Clusiaceae,,FAMILY,-3.80777,51.63987
Clusiaceae,Clusiaceae,89.8,Clusiaceae,Malpighiales,Clusiaceae,,FAMILY,-3.80777,51.63987
Clusiaceae,Clusiaceae,89.8,Clusiaceae,Malpighiales,Clusiaceae,,FAMILY,-3.660047,51.552131
Clusiaceae,Clusiaceae,89.8,Clusiaceae,Malpighiales,Clusiaceae,,FAMILY,-3.811354,51.729737
Clusiaceae,Clusiaceae,89.8,Symphonia globulifera L.fil.,Malpighiales,Clusiaceae,Symphonia,SPECIES,6.298367,5.029795
Clusiaceae,Clusiaceae,89.8,Clusiaceae,Malpighiales,Clusiaceae,,FAMILY,-60.3741,6.36614
Clusiaceae,Clusiaceae,89.8,Clusiaceae,Malpighiales,Clusiaceae,,FAMILY,-60.3741,6.36614
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-61.0,10.0
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-61.0,10.0
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,144.21666,-37.583332
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,144.21666,-37.583332
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,144.21666,-37.583332
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,36.035999,5.043
Clusiaceae,Clusiaceae,89.8,Symphonia globulifera L.fil.,Malpighiales,Clusiaceae,Symphonia,SPECIES,-61.187496,10.603245
Clusiaceae,Clusiaceae,89.8,Clusia major L.,Malpighiales,Clusiaceae,Clusia,SPECIES,-70.648911,19.115515
Clusiaceae,Clusiaceae,89.8,Clusia grandiflora Splitg.,Malpighiales,Clusiaceae,Clusia,SPECIES,-60.609856,11.28717
Clusiaceae,Clusiaceae,89.8,Clusia rosea Jacq.,Malpighiales,Clusiaceae,Clusia,SPECIES,-82.388535,23.124889
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-79.099724,-3.398889
Clusiaceae,Clusiaceae,89.8,Allanblackia stuhlmannii (Engl.) Engl.,Malpighiales,Clusiaceae,Allanblackia,SPECIES,38.628765,-5.101566
Clusiaceae,Clusiaceae,89.8,Allanblackia stuhlmannii (Engl.) Engl.,Malpighiales,Clusiaceae,Allanblackia,SPECIES,38.601837,-5.161557
Clusiaceae,Clusiaceae,89.8,Clusia rosea Jacq.,Malpighiales,Clusiaceae,Clusia,SPECIES,-80.273834,25.678816
Clusiaceae,Clusiaceae,89.8,Rheedia brasiliensis (C.Mart.) Planch. & Triana,Malpighiales,Clusiaceae,Garcinia,SPECIES,-56.087017,-19.588499
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-77.848595,-0.91483
Clusiaceae,Clusiaceae,89.8,Clusia rosea Jacq.,Malpighiales,Clusiaceae,Clusia,SPECIES,-82.722023,27.989672
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-71.6647,18.3335
Clusiaceae,Clusiaceae,89.8,Clusia gundlachii Stahl,Malpighiales,Clusiaceae,Clusia,SPECIES,-66.9995,18.1574
Clusiaceae,Clusiaceae,89.8,Clusia major L.,Malpighiales,Clusiaceae,Clusia,SPECIES,-61.092869,4.592852
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.6403,5.7135
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,121.647,-3.78147
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-59.9748,5.37923
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.6403,5.7135
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,93.3982,21.3892
Clusiaceae,Clusiaceae,89.8,Moronobea Aubl.,Malpighiales,Clusiaceae,Moronobea,GENUS,-60.3754,6.36042
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,93.3999,21.3981
Clusiaceae,Clusiaceae,89.8,Garcinia xanthochymus Hook.f. ex T.Anderson,Malpighiales,Clusiaceae,Garcinia,SPECIES,-149.894,-17.4906
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-59.3133,5.30028
Clusiaceae,Clusiaceae,89.8,Rheedia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,-58.9808,5.34139
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,-60.632,5.71453
Clusiaceae,Clusiaceae,89.8,Moronobea Aubl.,Malpighiales,Clusiaceae,Moronobea,GENUS,-60.3022,5.70933
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-59.9626,5.37356
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.632,5.71453
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-59.3133,5.30028
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.3022,5.70933
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.5847,6.33178
Clusiaceae,Clusiaceae,89.8,Clusia grandiflora Splitg.,Malpighiales,Clusiaceae,Clusia,SPECIES,-55.170101,4.9432
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-59.976,5.39004
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.2353,5.80742
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-59.976,5.39004
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-59.976,5.39004
Clusiaceae,Clusiaceae,89.8,Tovomita Aubl.,Malpighiales,Clusiaceae,Tovomita,GENUS,-58.3223,3.40214
Clusiaceae,Clusiaceae,89.8,Rheedia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,-58.9808,5.34139
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-58.1674,3.36636
Clusiaceae,Clusiaceae,89.8,Tovomita Aubl.,Malpighiales,Clusiaceae,Tovomita,GENUS,-60.3724,6.37861
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,103.626917,22.627472
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.3781,6.37539
Clusiaceae,Clusiaceae,89.8,Clusia grandiflora Splitg.,Malpighiales,Clusiaceae,Clusia,SPECIES,-60.8457,5.50186
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.5755,6.33931
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.5755,6.33931
Clusiaceae,Clusiaceae,89.8,Moronobea Aubl.,Malpighiales,Clusiaceae,Moronobea,GENUS,-59.8542,5.075
Clusiaceae,Clusiaceae,89.8,Clusia grandiflora Splitg.,Malpighiales,Clusiaceae,Clusia,SPECIES,-60.7703,5.51919
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-90.2589,38.6141
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.2782,5.69614
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.7703,5.51919
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-90.2589,38.6141
Clusiaceae,Clusiaceae,89.8,Moronobea jenmanii Engl.,Malpighiales,Clusiaceae,Moronobea,SPECIES,-60.2257,5.81533
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.2989,5.70636
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-90.2589,38.6141
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,108.311389,14.758889
Clusiaceae,Clusiaceae,89.8,Garcinia nigrolineata Planch. ex T.Anderson,Malpighiales,Clusiaceae,Garcinia,SPECIES,107.205556,12.204444
Clusiaceae,Clusiaceae,89.8,Garcinia merguensis Wight,Malpighiales,Clusiaceae,Garcinia,SPECIES,108.35,12.395833
Clusiaceae,Clusiaceae,89.8,Garcinia hopii H.Toyama & V.S.Dang,Malpighiales,Clusiaceae,Garcinia,SPECIES,108.713889,12.190278
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.2393,5.80961
Clusiaceae,Clusiaceae,89.8,Clusia grandiflora Splitg.,Malpighiales,Clusiaceae,Clusia,SPECIES,-60.9289,5.54725
Clusiaceae,Clusiaceae,89.8,Symphonia L.fil.,Malpighiales,Clusiaceae,Symphonia,GENUS,-60.1557,5.86233
Clusiaceae,Clusiaceae,89.8,Clusiaceae,Malpighiales,Clusiaceae,,FAMILY,-5.034181,50.517202
Clusiaceae,Clusiaceae,89.8,Clusiaceae,Malpighiales,Clusiaceae,,FAMILY,-52.68,4.03
Clusiaceae,Clusiaceae,89.8,Symphonia globulifera L.fil.,Malpighiales,Clusiaceae,Symphonia,SPECIES,6.298429,5.029864
Clusiaceae,Clusiaceae,89.8,Symphonia globulifera L.fil.,Malpighiales,Clusiaceae,Symphonia,SPECIES,6.297911,5.028571
Clusiaceae,Clusiaceae,89.8,Clusiaceae,Malpighiales,Clusiaceae,,FAMILY,-3.804204,51.550002
Clusiaceae,Clusiaceae,89.8,Clusiaceae,Malpighiales,Clusiaceae,,FAMILY,-3.80777,51.63987
Clusiaceae,Clusiaceae,89.8,Clusiaceae,Malpighiales,Clusiaceae,,FAMILY,-3.80777,51.63987
Clusiaceae,Clusiaceae,89.8,Clusiaceae,Malpighiales,Clusiaceae,,FAMILY,-3.660047,51.552131
Clusiaceae,Clusiaceae,89.8,Clusiaceae,Malpighiales,Clusiaceae,,FAMILY,-3.811354,51.729737
Clusiaceae,Clusiaceae,89.8,Symphonia globulifera L.fil.,Malpighiales,Clusiaceae,Symphonia,SPECIES,6.298367,5.029795
Clusiaceae,Clusiaceae,89.8,Clusiaceae,Malpighiales,Clusiaceae,,FAMILY,-60.3741,6.36614
Clusiaceae,Clusiaceae,89.8,Clusiaceae,Malpighiales,Clusiaceae,,FAMILY,-60.3741,6.36614
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-61.0,10.0
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-61.0,10.0
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,144.21666,-37.583332
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,144.21666,-37.583332
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,144.21666,-37.583332
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,36.035999,5.043
Clusiaceae,Clusiaceae,89.8,Symphonia globulifera L.fil.,Malpighiales,Clusiaceae,Symphonia,SPECIES,-61.187496,10.603245
Clusiaceae,Clusiaceae,89.8,Clusia major L.,Malpighiales,Clusiaceae,Clusia,SPECIES,-70.648911,19.115515
Clusiaceae,Clusiaceae,89.8,Clusia grandiflora Splitg.,Malpighiales,Clusiaceae,Clusia,SPECIES,-60.609856,11.28717
Clusiaceae,Clusiaceae,89.8,Clusia rosea Jacq.,Malpighiales,Clusiaceae,Clusia,SPECIES,-82.388535,23.124889
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-79.099724,-3.398889
Clusiaceae,Clusiaceae,89.8,Allanblackia stuhlmannii (Engl.) Engl.,Malpighiales,Clusiaceae,Allanblackia,SPECIES,38.628765,-5.101566
Clusiaceae,Clusiaceae,89.8,Allanblackia stuhlmannii (Engl.) Engl.,Malpighiales,Clusiaceae,Allanblackia,SPECIES,38.601837,-5.161557
Clusiaceae,Clusiaceae,89.8,Clusia rosea Jacq.,Malpighiales,Clusiaceae,Clusia,SPECIES,-80.273834,25.678816
Clusiaceae,Clusiaceae,89.8,Rheedia brasiliensis (C.Mart.) Planch. & Triana,Malpighiales,Clusiaceae,Garcinia,SPECIES,-56.087017,-19.588499
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-77.848595,-0.91483
Clusiaceae,Clusiaceae,89.8,Clusia rosea Jacq.,Malpighiales,Clusiaceae,Clusia,SPECIES,-82.722023,27.989672
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-71.6647,18.3335
Clusiaceae,Clusiaceae,89.8,Clusia gundlachii Stahl,Malpighiales,Clusiaceae,Clusia,SPECIES,-66.9995,18.1574
Clusiaceae,Clusiaceae,89.8,Clusia major L.,Malpighiales,Clusiaceae,Clusia,SPECIES,-61.092869,4.592852
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.6403,5.7135
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,121.647,-3.78147
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-59.9748,5.37923
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.6403,5.7135
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,93.3982,21.3892
Clusiaceae,Clusiaceae,89.8,Moronobea Aubl.,Malpighiales,Clusiaceae,Moronobea,GENUS,-60.3754,6.36042
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,93.3999,21.3981
Clusiaceae,Clusiaceae,89.8,Garcinia xanthochymus Hook.f. ex T.Anderson,Malpighiales,Clusiaceae,Garcinia,SPECIES,-149.894,-17.4906
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-59.3133,5.30028
Clusiaceae,Clusiaceae,89.8,Rheedia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,-58.9808,5.34139
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,-60.632,5.71453
Clusiaceae,Clusiaceae,89.8,Moronobea Aubl.,Malpighiales,Clusiaceae,Moronobea,GENUS,-60.3022,5.70933
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-59.9626,5.37356
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.632,5.71453
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-59.3133,5.30028
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.3022,5.70933
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.5847,6.33178
Clusiaceae,Clusiaceae,89.8,Clusia grandiflora Splitg.,Malpighiales,Clusiaceae,Clusia,SPECIES,-55.170101,4.9432
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-59.976,5.39004
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.2353,5.80742
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-59.976,5.39004
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-59.976,5.39004
Clusiaceae,Clusiaceae,89.8,Tovomita Aubl.,Malpighiales,Clusiaceae,Tovomita,GENUS,-58.3223,3.40214
Clusiaceae,Clusiaceae,89.8,Rheedia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,-58.9808,5.34139
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-58.1674,3.36636
Clusiaceae,Clusiaceae,89.8,Tovomita Aubl.,Malpighiales,Clusiaceae,Tovomita,GENUS,-60.3724,6.37861
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,103.626917,22.627472
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.3781,6.37539
Clusiaceae,Clusiaceae,89.8,Clusia grandiflora Splitg.,Malpighiales,Clusiaceae,Clusia,SPECIES,-60.8457,5.50186
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.5755,6.33931
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.5755,6.33931
Clusiaceae,Clusiaceae,89.8,Moronobea Aubl.,Malpighiales,Clusiaceae,Moronobea,GENUS,-59.8542,5.075
Clusiaceae,Clusiaceae,89.8,Clusia grandiflora Splitg.,Malpighiales,Clusiaceae,Clusia,SPECIES,-60.7703,5.51919
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-90.2589,38.6141
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.2782,5.69614
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.7703,5.51919
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-90.2589,38.6141
Clusiaceae,Clusiaceae,89.8,Moronobea jenmanii Engl.,Malpighiales,Clusiaceae,Moronobea,SPECIES,-60.2257,5.81533
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.2989,5.70636
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-90.2589,38.6141
Clusiaceae,Clusiaceae,89.8,Garcinia L.,Malpighiales,Clusiaceae,Garcinia,GENUS,108.311389,14.758889
Clusiaceae,Clusiaceae,89.8,Garcinia nigrolineata Planch. ex T.Anderson,Malpighiales,Clusiaceae,Garcinia,SPECIES,107.205556,12.204444
Clusiaceae,Clusiaceae,89.8,Garcinia merguensis Wight,Malpighiales,Clusiaceae,Garcinia,SPECIES,108.35,12.395833
Clusiaceae,Clusiaceae,89.8,Garcinia hopii H.Toyama & V.S.Dang,Malpighiales,Clusiaceae,Garcinia,SPECIES,108.713889,12.190278
Clusiaceae,Clusiaceae,89.8,Clusia L.,Malpighiales,Clusiaceae,Clusia,GENUS,-60.2393,5.80961
Clusiaceae,Clusiaceae,89.8,Clusia grandiflora Splitg.,Malpighiales,Clusiaceae,Clusia,SPECIES,-60.9289,5.54725
Clusiaceae,Clusiaceae,89.8,Symphonia L.fil.,Malpighiales,Clusiaceae,Symphonia,GENUS,-60.1557,5.86233
Cornales,Cornales,89.8,Cornus L.,Cornales,Cornaceae,Cornus,GENUS,159.07,-31.5
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,138.71438,-34.98457
Cornales,Cornales,89.8,Hydrangeaceae,Cornales,Hydrangeaceae,,FAMILY,144.9667,-37.8167
Cornales,Cornales,89.8,Hydrangeaceae,Cornales,Hydrangeaceae,,FAMILY,144.9667,-37.8167
Cornales,Cornales,89.8,Cornus capitata Wall.,Cornales,Cornaceae,Cornus,SPECIES,145.38547,-37.85079
Cornales,Cornales,89.8,Cornus capitata Wall.,Cornales,Cornaceae,Cornus,SPECIES,147.2096,-36.7818
Cornales,Cornales,89.8,Cornus capitata Wall.,Cornales,Cornaceae,Cornus,SPECIES,147.21583,-36.80139
Cornales,Cornales,89.8,Hydrangeaceae,Cornales,Hydrangeaceae,,FAMILY,144.9667,-37.8167
Cornales,Cornales,89.8,Cornus capitata Wall.,Cornales,Cornaceae,Cornus,SPECIES,145.71926,-37.7142
Cornales,Cornales,89.8,Cornus capitata Wall.,Cornales,Cornaceae,Cornus,SPECIES,145.37095,-37.83428
Cornales,Cornales,89.8,Cornus capitata Wall.,Cornales,Cornaceae,Cornus,SPECIES,145.35504,-37.85858
Cornales,Cornales,89.8,Cornus capitata Wall.,Cornales,Cornaceae,Cornus,SPECIES,145.34274,-37.87771
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,145.34513,-37.84527
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,145.35,-37.86667
Cornales,Cornales,89.8,Cornus capitata Wall.,Cornales,Cornaceae,Cornus,SPECIES,145.4975,-37.95167
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,145.34485,-37.8455
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,145.32574,-37.87996
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,145.34511,-37.84511
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,145.35694,-37.87306
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,145.37694,-37.82278
Cornales,Cornales,89.8,Cornus capitata Wall.,Cornales,Cornaceae,Cornus,SPECIES,145.36027,-37.8585
Cornales,Cornales,89.8,Cornus capitata Wall.,Cornales,Cornaceae,Cornus,SPECIES,145.35194,-37.8425
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,145.34487,-37.84526
Cornales,Cornales,89.8,Cornus capitata Wall.,Cornales,Cornaceae,Cornus,SPECIES,145.35965,-37.88182
Cornales,Cornales,89.8,Cornus capitata Wall.,Cornales,Cornaceae,Cornus,SPECIES,145.3858,-37.85137
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,145.32576,-37.87984
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,145.35097,-37.831
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,145.34702,-37.84541
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,145.34514,-37.84503
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,145.35,-37.86667
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,145.34481,-37.84537
Cornales,Cornales,89.8,Cornus capitata Wall.,Cornales,Cornaceae,Cornus,SPECIES,145.35726,-37.8572
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,145.3448,-37.84534
Cornales,Cornales,89.8,Cornales,Cornales,,,ORDER,-92.777,49.634
Cornales,Cornales,89.8,Cornales,Cornales,,,ORDER,30.022,31.2
Cornales,Cornales,89.8,Cornales,Cornales,,,ORDER,30.022,31.2
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,146.048018,-42.766429
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,145.541874,-42.354052
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,145.901247,-43.254084
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,146.131184,-43.371319
Cornales,Cornales,89.8,Hydrangea L.,Cornales,Hydrangeaceae,Hydrangea,GENUS,145.523723,-41.144217
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,146.894866,-43.581671
Cornales,Cornales,89.8,Hydrangea L.,Cornales,Hydrangeaceae,Hydrangea,GENUS,146.886552,-43.550211
Cornales,Cornales,89.8,Philadelphus mexicanus Schltdl.,Cornales,Hydrangeaceae,Philadelphus,SPECIES,146.165062,-43.421096
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,146.165062,-43.421096
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,146.291259,-41.572152
Cornales,Cornales,89.8,Hydrangea macrophylla (Thunb.) Ser.,Cornales,Hydrangeaceae,Hydrangea,SPECIES,145.696437,-42.57115
Cornales,Cornales,89.8,Cornales,Cornales,,,ORDER,87.517,27.298
Cornales,Cornales,89.8,Cornales,Cornales,,,ORDER,87.47,27.362
Cornales,Cornales,89.8,Cornales,Cornales,,,ORDER,-67.1689,54.9004
Cornales,Cornales,89.8,Cornales,Cornales,,,ORDER,-73.755,45.517
Cornales,Cornales,89.8,Cornales,Cornales,,,ORDER,22.313,70.016
Cornales,Cornales,89.8,Cornales,Cornales,,,ORDER,19.104,69.72
Cornales,Cornales,89.8,Chamaepericlymenum suecicum (L.) Asch. & Graebn.,Cornales,Cornaceae,Cornus,SPECIES,4.873418,59.310989
